epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.95425,1.89316,2.3699,2.16167,0.00118,0.21782,0.0008,0.00021,3.92163,inf,167.882,0.0706977,0.00325581,0.00325581
2,18.8508,1.98623,2.06691,2.18938,0.00683,0.07921,0.00242,0.00051,3.94152,inf,16.1378,0.0406324,0.00652391,0.00652391
3,27.4541,1.89666,1.98837,2.11226,0.02128,0.0198,0.0048,0.00107,3.96828,61.267,10.3017,0.0105012,0.00972602,0.00972602
4,36.032,1.84269,1.86389,2.04189,0.00571,0.00495,0.00135,0.00034,4.46565,6.50888,7.9444,0.009703,0.009703,0.009703
5,44.5757,1.76616,1.80978,1.978,0.1129,0.03465,0.01255,0.0033,3.35445,24.9347,4.34371,0.009604,0.009604,0.009604
6,52.8789,1.70481,1.6982,1.91948,0.07732,0.22772,0.05287,0.01345,2.69284,3.02348,2.95417,0.009505,0.009505,0.009505
7,61.2908,1.67469,1.64694,1.88688,0.10702,0.16337,0.05539,0.01382,3.20745,3.97706,3.91891,0.009406,0.009406,0.009406
8,70.1399,1.62221,1.5585,1.84865,0.30605,0.44554,0.29059,0.10466,2.2621,2.0372,2.51802,0.009307,0.009307,0.009307
9,78.4577,1.61981,1.54197,1.84115,0.29305,0.31683,0.21844,0.06362,2.59503,2.5831,2.90346,0.009208,0.009208,0.009208
10,87.1416,1.58701,1.47098,1.79727,0.47603,0.60396,0.45982,0.14972,2.29458,2.54418,2.53898,0.009109,0.009109,0.009109
11,95.6156,1.55418,1.45094,1.76737,0.65788,0.54455,0.59357,0.18969,2.31508,1.66304,2.48914,0.00901,0.00901,0.00901
12,104.108,1.51807,1.38764,1.74112,0.59055,0.58416,0.5648,0.21558,2.18545,1.64095,2.46278,0.008911,0.008911,0.008911
13,112.38,1.51125,1.36514,1.73402,0.7329,0.63843,0.69706,0.2683,1.92527,1.38685,2.17223,0.008812,0.008812,0.008812
14,120.819,1.49267,1.35785,1.72606,0.55797,0.57492,0.49306,0.15589,2.21311,1.68901,2.46225,0.008713,0.008713,0.008713
15,129.459,1.49084,1.35265,1.72733,0.72369,0.56436,0.63888,0.27823,2.01737,1.31298,2.3046,0.008614,0.008614,0.008614
16,138.072,1.46592,1.34581,1.69415,0.73522,0.63861,0.68924,0.30359,1.96415,1.35706,2.35256,0.008515,0.008515,0.008515
17,147.001,1.47944,1.33366,1.7054,0.68786,0.66337,0.63545,0.26125,2.1075,1.32092,2.41528,0.008416,0.008416,0.008416
18,155.53,1.43788,1.28564,1.68054,0.78759,0.74257,0.74982,0.31759,1.91699,1.23349,2.18941,0.008317,0.008317,0.008317
19,164.394,1.44553,1.28144,1.67437,0.77955,0.70023,0.70707,0.25991,2.02783,1.34597,2.31454,0.008218,0.008218,0.008218
20,172.611,1.42719,1.27877,1.69084,0.69277,0.50234,0.51683,0.14782,2.56119,1.5488,2.92102,0.008119,0.008119,0.008119
21,180.815,1.41803,1.22559,1.65612,0.77787,0.71076,0.76477,0.35298,1.88834,1.14988,2.13885,0.00802,0.00802,0.00802
22,189.085,1.40401,1.19737,1.63234,0.75257,0.61734,0.68211,0.25524,2.24031,1.30377,2.46229,0.007921,0.007921,0.007921
23,197.57,1.38904,1.1944,1.64489,0.82159,0.66112,0.70514,0.27057,2.08723,1.44261,2.43179,0.007822,0.007822,0.007822
24,205.853,1.38843,1.19732,1.62938,0.72974,0.64851,0.67087,0.28948,2.00826,1.33342,2.23886,0.007723,0.007723,0.007723
25,213.94,1.35741,1.18903,1.61068,0.82491,0.72301,0.78299,0.34974,1.89074,1.10468,2.07586,0.007624,0.007624,0.007624
26,221.876,1.3505,1.16425,1.6104,0.83307,0.69176,0.74911,0.34442,1.90636,1.1039,2.17488,0.007525,0.007525,0.007525
27,230.027,1.34856,1.13283,1.59907,0.8163,0.60891,0.63501,0.25601,2.11873,1.44478,2.44088,0.007426,0.007426,0.007426
28,238.468,1.32143,1.11786,1.57607,0.8426,0.70297,0.74916,0.30567,1.97508,1.08119,2.24525,0.007327,0.007327,0.007327
29,246.494,1.34657,1.11832,1.59767,0.84063,0.67891,0.78386,0.39493,1.74497,1.0719,1.9981,0.007228,0.007228,0.007228
30,254.52,1.3143,1.10791,1.57007,0.86951,0.75743,0.81992,0.39717,1.6822,1.02759,1.96709,0.007129,0.007129,0.007129
31,262.536,1.29853,1.06149,1.57123,0.83928,0.73762,0.81969,0.40134,1.74524,1.03302,2.00119,0.00703,0.00703,0.00703
32,270.78,1.30523,1.07638,1.57397,0.8364,0.75927,0.8491,0.41638,1.74769,1.01156,2.02158,0.006931,0.006931,0.006931
33,278.734,1.29686,1.05891,1.55773,0.83746,0.72277,0.81461,0.36766,1.74275,1.09844,1.99918,0.006832,0.006832,0.006832
34,286.732,1.29385,1.0423,1.55264,0.86787,0.74786,0.84328,0.42994,1.65307,0.92617,1.9414,0.006733,0.006733,0.006733
35,294.704,1.29075,1.04128,1.55559,0.87015,0.75743,0.84578,0.3715,1.81502,1.05169,2.02059,0.006634,0.006634,0.006634
36,302.695,1.28824,1.0487,1.54947,0.87793,0.77723,0.82873,0.37994,1.79749,1.02767,2.02383,0.006535,0.006535,0.006535
37,310.999,1.29885,1.07736,1.5587,0.85015,0.75743,0.85657,0.448,1.66293,0.94808,1.92578,0.006436,0.006436,0.006436
38,319.432,1.25446,1.01844,1.5294,0.86225,0.77228,0.86413,0.40897,1.73919,0.9142,1.95234,0.006337,0.006337,0.006337
39,327.61,1.2502,1.02893,1.53042,0.86402,0.73762,0.82552,0.36806,1.82797,1.002,2.09827,0.006238,0.006238,0.006238
40,335.593,1.24143,0.9976,1.52921,0.77479,0.73234,0.75534,0.30613,2.0392,0.98812,2.27904,0.006139,0.006139,0.006139
41,343.814,1.25057,0.99683,1.52464,0.7856,0.76733,0.77787,0.31325,1.96781,1.05432,2.22761,0.00604,0.00604,0.00604
42,351.829,1.24983,1.01597,1.51145,0.86699,0.75743,0.82112,0.41219,1.72517,0.94222,1.96828,0.005941,0.005941,0.005941
43,359.898,1.22659,0.98343,1.51662,0.83349,0.7434,0.81902,0.42864,1.6629,0.96532,1.90949,0.005842,0.005842,0.005842
44,367.875,1.23013,0.96622,1.49556,0.84533,0.81169,0.81689,0.39082,1.78712,0.85626,1.99453,0.005743,0.005743,0.005743
45,376.227,1.22913,0.98098,1.49461,0.78491,0.77679,0.77582,0.34366,1.94412,0.96108,2.16576,0.005644,0.005644,0.005644
46,384.784,1.21237,0.96367,1.48898,0.88756,0.70792,0.83238,0.40793,1.72797,0.90958,1.98038,0.005545,0.005545,0.005545
47,393.295,1.21849,0.96341,1.50177,0.7975,0.77723,0.84787,0.41474,1.66227,0.94776,1.90289,0.005446,0.005446,0.005446
48,401.587,1.22367,0.97614,1.49743,0.82497,0.77001,0.84958,0.40512,1.74718,0.91542,1.98279,0.005347,0.005347,0.005347
49,409.957,1.18961,0.92858,1.47629,0.86715,0.77228,0.86035,0.43116,1.6256,0.86598,1.89525,0.005248,0.005248,0.005248
50,418.628,1.18427,0.93842,1.48322,0.8627,0.74651,0.82275,0.39644,1.70335,0.97471,1.96729,0.005149,0.005149,0.005149
51,427.087,1.18792,0.94228,1.48217,0.81967,0.81008,0.84974,0.4027,1.72639,0.91985,1.98129,0.00505,0.00505,0.00505
52,435.686,1.20946,0.93771,1.48529,0.90957,0.74694,0.86356,0.47518,1.52422,0.81938,1.78223,0.004951,0.004951,0.004951
53,444.012,1.16437,0.91216,1.44822,0.89136,0.78713,0.86279,0.46728,1.53736,0.82469,1.81173,0.004852,0.004852,0.004852
54,452.528,1.17121,0.905,1.47253,0.81939,0.80198,0.84114,0.45076,1.5873,0.88678,1.89085,0.004753,0.004753,0.004753
55,461.362,1.16497,0.91294,1.45551,0.84644,0.75743,0.86692,0.43739,1.71126,0.88232,1.94838,0.004654,0.004654,0.004654
56,469.676,1.15389,0.8922,1.44096,0.8451,0.81029,0.85589,0.4689,1.55398,0.87732,1.84801,0.004555,0.004555,0.004555
57,477.848,1.14933,0.8935,1.44076,0.81166,0.81069,0.84337,0.45483,1.5736,0.84858,1.8775,0.004456,0.004456,0.004456
58,485.951,1.15011,0.89483,1.44698,0.87412,0.79069,0.8776,0.44567,1.68177,0.85082,1.91471,0.004357,0.004357,0.004357
59,494.211,1.14482,0.87728,1.43396,0.80819,0.82178,0.85834,0.41831,1.69389,0.882,1.96278,0.004258,0.004258,0.004258
60,502.365,1.16219,0.90082,1.44918,0.82343,0.76188,0.83311,0.39388,1.77497,0.90475,2.01098,0.004159,0.004159,0.004159
61,510.313,1.12379,0.86815,1.43357,0.82445,0.81376,0.85944,0.43105,1.70991,0.84463,1.93297,0.00406,0.00406,0.00406
62,518.3,1.14228,0.8881,1.44062,0.83431,0.79208,0.84983,0.39801,1.74231,0.86824,2.00184,0.003961,0.003961,0.003961
63,526.193,1.14253,0.87823,1.42411,0.82227,0.84741,0.86507,0.44353,1.5799,0.85088,1.81915,0.003862,0.003862,0.003862
64,534.182,1.1064,0.8565,1.41403,0.87646,0.82178,0.8692,0.45175,1.58694,0.77522,1.85024,0.003763,0.003763,0.003763
65,542.191,1.11358,0.85033,1.41908,0.88276,0.78277,0.88516,0.44181,1.64679,0.82647,1.87337,0.003664,0.003664,0.003664
66,550.448,1.10971,0.84008,1.41054,0.8616,0.78713,0.85156,0.43769,1.6606,0.81112,1.88402,0.003565,0.003565,0.003565
67,558.944,1.11593,0.84041,1.41297,0.88486,0.79894,0.86495,0.43306,1.61979,0.82072,1.86762,0.003466,0.003466,0.003466
68,567.518,1.09338,0.83013,1.40114,0.91587,0.76733,0.87232,0.39153,1.82903,0.82955,2.07751,0.003367,0.003367,0.003367
69,575.702,1.08517,0.82888,1.39087,0.89209,0.77723,0.8693,0.46517,1.54682,0.78597,1.82563,0.003268,0.003268,0.003268
70,584.213,1.08672,0.82907,1.39311,0.88951,0.79712,0.89252,0.45192,1.58912,0.80455,1.84685,0.003169,0.003169,0.003169
71,592.476,1.09402,0.84165,1.40862,0.87106,0.80266,0.86136,0.41324,1.71958,0.84811,1.95602,0.00307,0.00307,0.00307
72,601.31,1.08129,0.81194,1.40785,0.90579,0.77723,0.86717,0.47648,1.51073,0.76714,1.77287,0.002971,0.002971,0.002971
73,609.647,1.07847,0.82601,1.38796,0.82599,0.82673,0.8507,0.4137,1.74214,0.83689,1.95945,0.002872,0.002872,0.002872
